MiniGame, Version, Player, First_TimeStamp, Last_Timestamp, Score, Q1, Q2, Q3, Q4
FLAPPY,1,bdaFDd​,1681911074511,1681911136625,280,1,5,4,4
RUNSHOOT,2,bdaFDd​,1681911166220,1681911227591,114,4,5,5,4
FLAPPY,2,bdaFDd​,1681911256652,1681911324476,290,5,5,5,5
SORTER,1,bdaFDd​,1681911354698,1681911416294,420,5,5,5,5
SORTER,2,bdaFDd​,1681911433703,1681911494195,420,3,4,5,4
DOBBLE,3,bdaFDd​,1681911515094,1681911577077,530,2,3,3,2
DOBBLE,1,bdaFDd​,1681911592370,1681911653562,595,2,3,3,3
DOBBLE,2,bdaFDd​,1681911672496,1681911733930,525,3,3,3,3
FLAPPY,3,bdaFDd​,1681911753169,1681911824781,300,3,5,5,5
RUNSHOOT,1,bdaFDd​,1681911841436,1681911903967,109,3,4,5,3
SORTER,3,bdaFDd​,1681911915374,1681911975832,320,5,5,5,5
RUNSHOOT,3,bdaFDd​,1681911991058,1681912056117,122,4,5,5,5
DOBBLE,2,bdaFDd2​,1681912338477,1681912399971,435,4,5,3,5
SORTER,1,bdaFDd2​,1681912414026,1681912474587,420,5,5,5,5
FLAPPY,1,bdaFDd2​,1681912491126,1681912556888,260,3,5,4,1
RUNSHOOT,1,bdaFDd2​,1681912574361,1681912635423,118,3,3,4,4
DOBBLE,3,bdaFDd2​,1681912649061,1681912710640,345,2,4,3,3
RUNSHOOT,3,bdaFDd2​,1681912724312,1681912789241,133,3,5,4,4
SORTER,3,bdaFDd2​,1681912809564,1681912870058,10,5,5,5,5
FLAPPY,3,bdaFDd2​,1681912886997,1681912958259,270,3,5,5,4
SORTER,2,bdaFDd2​,1681912985665,1681913046110,500,3,4,5,3
RUNSHOOT,2,bdaFDd2​,1681913059517,1681913120994,126,3,3,5,4
DOBBLE,1,bdaFDd2​,1681913140671,1681913201479,395,2,4,3,4
FLAPPY,2,bdaFDd2​,1681913213768,1681913278846,200,2,5,4,3
FLAPPY,2,GD5JC6​,1682494315956,1682494377936,290,2,3,1,1
SORTER,1,GD5JC6​,1682494439961,1682494500488,600,2,2,2,2
DOBBLE,2,GD5JC6​,1682494526057,1682494587022,265,2,3,2,2
RUNSHOOT,1,GD5JC6​,1682494610312,1682494671373,127,3,3,4,2
DOBBLE,3,GD5JC6​,1682494688837,1682494750324,335,3,3,2,3
SORTER,3,GD5JC6​,1682494774046,1682494834576,290,4,4,2,2
FLAPPY,1,GD5JC6​,1682494869614,1682494930826,300,2,2,2,2
DOBBLE,1,GD5JC6​,1682494954186,1682495015644,345,3,2,2,3
RUNSHOOT,3,GD5JC6​,1682495041551,1682495106461,134,3,4,4,3
FLAPPY,3,GD5JC6​,1682495118700,1682495183761,350,3,3,2,2
RUNSHOOT,2,GD5JC6​,1682495217437,1682495277912,127,2,2,3,2
SORTER,2,GD5JC6​,1682495321357,1682495381782,590,1,1,2,2
SORTER,3,GD5JC6​,1682495518720,1682495579233,410,2,3,2,2
FLAPPY,2,GD5JC6​,1682495601056,1682495663183,290,2,2,1,2
DOBBLE,1,GD5JC6​,1682495687568,1682495748551,370,2,2,2,3
FLAPPY,3,GD5JC6​,1682495774756,1682495837351,400,2,3,1,1
RUNSHOOT,1,GD5JC6​,1682495862390,1682495923720,137,2,3,3,3
DOBBLE,3,GD5JC6​,1682495953794,1682496014820,480,2,3,2,3
RUNSHOOT,2,GD5JC6​,1682496040010,1682496100422,130,2,2,3,2
SORTER,1,GD5JC6​,1682496123279,1682496183773,630,2,2,2,3
RUNSHOOT,3,GD5JC6​,1682496196744,1682496260790,134,3,3,3,2
FLAPPY,1,GD5JC6​,1682496282263,1682496344508,300,2,2,2,2
SORTER,2,GD5JC6​,1682496360730,1682496421176,580,2,2,3,3
DOBBLE,2,GD5JC6​,1682496439781,1682496500677,245,2,2,2,3
RUNSHOOT,3,MNZ37D​,1682501770168,1682501833284,139,3,4,5,3
SORTER,2,MNZ37D​,1682501859159,1682501919753,360,3,3,4,2
DOBBLE,1,MNZ37D​,1682501936892,1682501997820,210,3,4,3,4
FLAPPY,3,MNZ37D​,1682502009825,1682502072188,400,1,1,2,2
SORTER,3,MNZ37D​,1682502085910,1682502146405,110,3,3,4,2
DOBBLE,3,MNZ37D​,1682502162748,1682502224689,230,3,3,3,4
RUNSHOOT,2,MNZ37D​,1682502240065,1682502302057,121,2,2,3,1
DOBBLE,2,MNZ37D​,1682502320241,1682502381258,225,2,3,3,4
SORTER,1,MNZ37D​,1682502398481,1682502458992,370,2,2,3,2
RUNSHOOT,1,MNZ37D​,1682502478047,1682502538676,135,2,2,3,2
FLAPPY,1,MNZ37D​,1682502555282,1682502618043,300,1,2,2,1
FLAPPY,2,MNZ37D​,1682502633400,1682502694560,300,2,1,2,1
SORTER,2,MNZ37D2​,1682502842534,1682502903030,520,2,2,2,2
RUNSHOOT,3,MNZ37D2​,1682502921986,1682502984847,123,2,3,3,2
SORTER,3,MNZ37D2​,1682503002818,1682503063315,270,3,4,3,2
DOBBLE,3,MNZ37D2​,1682503083170,1682503144615,355,2,3,3,3
FLAPPY,2,MNZ37D2​,1682503160571,1682503223399,300,2,2,2,2
SORTER,1,MNZ37D2​,1682503234887,1682503295350,490,2,2,3,2
FLAPPY,1,MNZ37D2​,1682503315141,1682503375634,300,1,1,1,1
RUNSHOOT,1,MNZ37D2​,1682503384058,1682503446786,113,2,1,2,2
DOBBLE,2,MNZ37D2​,1682503459160,1682503519969,250,2,2,2,3
FLAPPY,3,MNZ37D2​,1682503528426,1682503590770,400,2,1,1,1
RUNSHOOT,2,MNZ37D2​,1682503601926,1682503662388,126,2,2,3,2
DOBBLE,1,MNZ37D2​,1682503673811,1682503735373,370,2,3,3,3
SORTER,1,D43TCP​,1682505909478,1682505969925,310,4,4,4,2
FLAPPY,3,D43TCP​,1682505996999,1682506060827,350,4,4,2,3
DOBBLE,3,D43TCP​,1682506078101,1682506140044,320,4,5,4,3
FLAPPY,2,D43TCP​,1682506163282,1682506226612,290,3,4,2,1
RUNSHOOT,3,D43TCP​,1682506242451,1682506305362,134,3,4,5,4
DOBBLE,2,D43TCP​,1682506333538,1682506394997,270,4,4,4,4
RUNSHOOT,1,D43TCP​,1682506418420,1682506480699,86,2,2,2,2
SORTER,2,D43TCP​,1682506494870,1682506555882,160,3,4,3,3
DOBBLE,1,D43TCP​,1682506572106,1682506632949,280,4,4,4,4
RUNSHOOT,2,D43TCP​,1682506645356,1682506705967,85,2,2,2,2
SORTER,3,D43TCP​,1682506728973,1682506789450,180,4,4,4,4
FLAPPY,1,D43TCP​,1682506804173,1682506866934,300,3,2,2,2
DOBBLE,3,D43TCP2​,1682507025992,1682507087390,270,4,4,4,4
FLAPPY,1,D43TCP2​,1682507106011,1682507168805,290,3,3,2,1
SORTER,1,D43TCP2​,1682507184912,1682507245391,320,4,4,4,3
RUNSHOOT,1,D43TCP2​,1682507257144,1682507318323,100,3,3,3,2
SORTER,3,D43TCP2​,1682507333911,1682507394407,360,4,4,4,3
DOBBLE,2,D43TCP2​,1682507407467,1682507468380,310,4,4,4,4
FLAPPY,3,D43TCP2​,1682507484614,1682507549127,370,3,4,2,3
SORTER,2,D43TCP2​,1682507566332,1682507626811,390,3,4,3,3
RUNSHOOT,3,D43TCP2​,1682507639266,1682507700895,135,4,4,4,4
DOBBLE,1,D43TCP2​,1682507719868,1682507780912,240,4,4,4,4
RUNSHOOT,2,D43TCP2​,1682507804134,1682507864846,117,4,2,3,2
FLAPPY,2,D43TCP2​,1682507888552,1682507951515,290,3,3,2,2
SORTER,1,PSF63U​,1682515750131,1682515810645,550,4,4,5,5
RUNSHOOT,2,PSF63U​,1682515838537,1682515899727,126,3,3,4,3
DOBBLE,1,PSF63U​,1682515913771,1682515974661,110,5,5,5,5
SORTER,3,PSF63U​,1682515991867,1682516052479,410,4,4,5,4
RUNSHOOT,1,PSF63U​,1682516072885,1682516133397,126,3,3,4,3
DOBBLE,3,PSF63U​,1682516159208,1682516221197,280,5,5,5,5
SORTER,2,PSF63U​,1682516266554,1682516327066,520,2,2,3,3
DOBBLE,2,PSF63U​,1682516357564,1682516418383,215,5,5,5,5
FLAPPY,2,PSF63U​,1682516445255,1682516511834,290,4,4,3,2
RUNSHOOT,3,PSF63U​,1682516532507,1682516595685,146,3,4,4,3
FLAPPY,3,PSF63U​,1682516626759,1682516690519,380,3,3,3,3
FLAPPY,1,PSF63U​,1682516722010,1682516783354,290,3,3,3,3
DOBBLE,1,PSF63U2​,1682517053061,1682517114425,370,5,5,5,5
RUNSHOOT,1,PSF63U2​,1682517132498,1682517193393,128,3,2,3,2
SORTER,2,PSF63U2​,1682517214715,1682517275110,560,3,3,3,3
DOBBLE,3,PSF63U2​,1682517290387,1682517351911,285,5,5,5,5
SORTER,1,PSF63U2​,1682517371550,1682517432012,600,4,3,4,3
FLAPPY,1,PSF63U2​,1682517462404,1682517524462,300,3,3,3,2
RUNSHOOT,3,PSF63U2​,1682517555736,1682517618548,154,4,4,4,3
DOBBLE,2,PSF63U2​,1682517644754,1682517705649,290,5,5,5,5
SORTER,3,PSF63U2​,1682517730754,1682517791250,480,4,4,4,3
FLAPPY,2,PSF63U2​,1682517814621,1682517876386,290,3,3,3,2
RUNSHOOT,2,PSF63U2​,1682517904073,1682517964568,138,3,3,3,3
FLAPPY,3,PSF63U2​,1682517985425,1682518046686,380,3,3,2,2
RUNSHOOT,2,MKB21T​,1682528540960,1682528602908,111,5,5,5,4
DOBBLE,2,MKB21T​,1682528625889,1682528686910,220,5,4,5,5
FLAPPY,3,MKB21T​,1682528703931,1682528774943,300,2,3,2,2
SORTER,3,MKB21T​,1682528797883,1682528858347,20,5,5,4,5
RUNSHOOT,3,MKB21T​,1682528874200,1682528940946,120,4,5,4,4
DOBBLE,3,MKB21T​,1682528956868,1682529018346,280,5,5,5,5
FLAPPY,2,MKB21T​,1682529031069,1682529098897,290,1,2,1,2
DOBBLE,1,MKB21T​,1682529116539,1682529178031,300,4,4,4,5
FLAPPY,1,MKB21T​,1682529194906,1682529264332,250,1,2,1,1
SORTER,1,MKB21T​,1682529283505,1682529344050,330,4,4,5,5
RUNSHOOT,1,MKB21T​,1682529357707,1682529419100,115,2,3,4,3
SORTER,2,MKB21T​,1682529433939,1682529494468,270,4,3,4,4
SORTER,3,MKB21T2​,1682529752875,1682529813987,130,5,5,5,5
RUNSHOOT,1,MKB21T2​,1682529826743,1682529890171,112,4,3,3,3
DOBBLE,2,MKB21T2​,1682529904476,1682529965406,290,4,3,4,5
SORTER,1,MKB21T2​,1682529983444,1682530043940,480,4,2,3,4
FLAPPY,1,MKB21T2​,1682530067746,1682530133190,290,1,3,1,1
RUNSHOOT,3,MKB21T2​,1682530148180,1682530211343,129,2,2,2,2
SORTER,2,MKB21T2​,1682530228364,1682530288810,360,2,2,2,2
DOBBLE,1,MKB21T2​,1682530306467,1682530367426,290,4,4,5,5
RUNSHOOT,2,MKB21T2​,1682530379283,1682530440577,113,3,2,2,2
FLAPPY,3,MKB21T2​,1682530455100,1682530522045,330,1,1,1,2
DOBBLE,3,MKB21T2​,1682530531318,1682530592896,345,4,3,5,5
FLAPPY,2,MKB21T2​,1682530603468,1682530670764,290,2,1,2,1
FLAPPY,3,D72PSN​,1682609060846,1682609125855,380,2,3,3,3
RUNSHOOT,3,D72PSN​,1682609157784,1682609222056,143,3,3,3,3
SORTER,3,D72PSN​,1682609235996,1682609296475,230,4,3,4,4
DOBBLE,2,D72PSN​,1682609318681,1682609379676,270,3,2,2,3
RUNSHOOT,1,D72PSN​,1682609394764,1682609456042,120,2,3,3,3
SORTER,1,D72PSN​,1682609465882,1682609526412,590,2,2,3,3
DOBBLE,1,D72PSN​,1682609537336,1682609598712,490,2,2,2,2
SORTER,2,D72PSN​,1682609612107,1682609672546,570,3,3,3,3
FLAPPY,1,D72PSN​,1682609680551,1682609742396,300,2,2,2,2
RUNSHOOT,2,D72PSN​,1682609754027,1682609815680,117,2,3,2,3
DOBBLE,3,D72PSN​,1682609829985,1682609892115,550,3,3,3,3
FLAPPY,2,D72PSN​,1682609905645,1682609967783,300,2,2,2,2
SORTER,2,D72PSN2​,1682610095822,1682610156352,540,2,2,2,2
RUNSHOOT,2,D72PSN2​,1682610173990,1682610235436,111,3,3,3,2
FLAPPY,3,D72PSN2​,1682610247925,1682610310137,400,2,2,2,2
RUNSHOOT,3,D72PSN2​,1682610321793,1682610386989,129,3,4,3,3
DOBBLE,3,D72PSN2​,1682610396991,1682610457789,515,3,3,3,2
SORTER,1,D72PSN2​,1682610472677,1682610533174,580,3,3,4,4
RUNSHOOT,1,D72PSN2​,1682610543254,1682610603823,120,3,2,2,3
DOBBLE,1,D72PSN2​,1682610617189,1682610678575,505,3,2,2,2
FLAPPY,1,D72PSN2​,1682610690246,1682610751325,300,2,2,3,2
SORTER,3,D72PSN2​,1682610766247,1682610826743,410,4,4,4,4
FLAPPY,2,D72PSN2​,1682610835386,1682610897194,290,3,2,3,3
DOBBLE,2,D72PSN2​,1682610908030,1682610969294,605,2,2,2,2
